"Date","Entry (tags)","Expense amount","Income amount","Currency","Amount in main currency","Main currency","Description"
"2014-11-09","planificate","100,64","","RON","100,64","RON","intretinerea pt septembrie"
"2014-11-09","electronice","3.173,40","","RON","3.173,40","RON","calculatorul lui Sergiu"
"2014-11-09","regularizari","18,28","","RON","18,28","RON","la zi"
"2014-11-09","mancare","33,46","","RON","33,46","RON","banane, morcovi, mandarine, cimbru, smantana, lapte, ciolan afumat"
"2014-11-09","igiena","7,58","","RON","7,58","RON","detergent de vase"
"2014-11-09","dulciuri","6,50","","RON","6,50","RON","cola pt bic"
"2014-11-09","dulciuri","7,38","","RON","7,38","RON","milka"
"2014-11-09","telefon","38,36","","RON","38,36","RON","telefon cami"
"2014-11-08","mancare","4,99","","RON","4,99","RON","oua pt clatite cu andy"
"2014-11-08","dulciuri","8,29","","RON","8,29","RON","fineti pt clatite cu andy"
"2014-11-08","haine","92,00","","RON","92,00","RON","pantalonii lui Sergiu, 3 buc"
"2014-11-07","mancare","3,15","","RON","3,15","RON","iaurt, si chifla"
"2014-11-07","mancare","3,00","","RON","3,00","RON","merdenea cu telemea"
"2014-11-05","mancare","2,00","","RON","2,00","RON","paine"
"2014-11-05","mancare","4,50","","RON","4,50","RON","sandvich la scoala"
"2014-11-05","mancare","23,76","","RON","23,76","RON","mancare de la Lidl"
"2014-11-04","mancare","2,00","","RON","2,00","RON","paine"
"2014-11-04","transport","74,50","","RON","74,50","RON","RATT"
"2014-11-03","mancare","2,00","","RON","2,00","RON","paine"
"2014-11-02","in oras","30,00","","RON","30,00","RON","saorma cu Miri"
"2014-11-02","donatie","4,00","","RON","4,00","RON","colecta la Pecica"
"2014-10-31","cadouri","80,00","","RON","80,00","RON","pt ziua mami si tabita: mamic ceast electronic + orhidee, Tabita - bani pt troler"
"2014-10-31","sanatate","6,50","","RON","6,50","RON","unguent cu kanamicina"
"2014-10-31","electronice","275,00","","RON","275,00","RON","garantie prelungita 4 ani, laptop cami"
"2014-10-31","casa","8,48","","RON","8,48","RON","umerase 8 buc"
"2014-10-31","dulciuri","7,51","","RON","7,51","RON","eugenii"
"2014-10-31","transport","5,00","","RON","5,00","RON","2 bilete RATT"
"2014-10-30","masina","210,00","","RON","210,00","RON","schimbat cabluri frana de mana (2 x 79 buc + 50 lei manopera) - mecanic Sabina"
"2014-10-30","mancare","19,42","","RON","19,42","RON","mancare de la Lidl (carnati, iaurt, chifle)"
"2014-10-30","mancare","2,50","","RON","2,50","RON","paine de la Prospero"
"2014-10-29","sanatate","59,03","","RON","59,03","RON","medicamente Cami - infectie urinara de la Dona din Girocului"
"2014-10-28","sanatate","28,81","","RON","28,81","RON","medicamente infectie urinara - dona - girocului"
"2014-10-28","mancare","16,04","","RON","16,04","RON","fructe de la Billa"
"2014-10-27","sanatate","35,00","","RON","35,00","RON","analize urina (+antibiograma) la MedLife langa Judetean"
"2014-10-27","sanatate","3,00","","RON","3,00","RON","sticlute recoltat urina 3 buc"
"2014-10-27","mancare","7,77","","RON","7,77","RON","lapte si iaurt de la Lidl"
"2014-10-26","mancare","74,00","","RON","74,00","RON","cumparaturi de la Kaufland facute de Sergiu"
"2014-10-25","mancare","55,00","","RON","55,00","RON","pt pranzul de duminica cu Daria, Cipri si Miri: peste, ardei, cascaval, crema de branza, placinta cu branza/dovleac, brocoli"
"2014-10-25","igiena","15,00","","RON","15,00","RON","intimate wash, sapun dove"
"2014-10-25","profesional","3,50","","RON","3,50","RON","pungi de gunoi"
"2014-10-24","masina","370,00","","RON","370,00","RON","discuri, placute de frana pe spate"
"2014-10-24","intretinere / reparatii","20,00","","RON","20,00","RON","lichid parbriz"
"2014-10-23","mancare","4,50","","RON","4,50","RON","zahar"
"2014-10-22","dulciuri","5,06","","RON","5,06","RON","placinta cu mac de la prospero"
"2014-10-22","mancare","3,70","","RON","3,70","RON","paine de la pospero"
"2014-10-21","donatie","3,00","","RON","3,00","RON","la pregatire de bic"
"2014-10-21","dulciuri","2,00","","RON","2,00","RON","pufuleti"
"2014-10-21","mancare","1,00","","RON","1,00","RON","cornuri in loc de paine"
"2014-10-20","comisioane bancare","7,00","","RON","7,00","RON","3,5 lei - mami
3,5 lei - gls"
"2014-10-20","donatie","300,00","","RON","300,00","RON","la pecica pt operatia lui Sebi"
"2014-10-20","imprumut","80,00","","RON","80,00","RON","inscriere gls sabina"
"2014-10-20","profesional","160,00","","RON","160,00","RON","inscriere GLS"
"2014-10-20","mancare","20,06","","RON","20,06","RON","banane, iaurt, lapte, carne (lidl)"
"2014-10-20","diverse","1,20","","RON","1,20","RON","caciula de pus pe cap, la spital"
"2014-10-20","facturi","70,00","","RON","70,00","RON","UPC"
"2014-10-19","mancare","2,00","","RON","2,00","RON","paine"
"2014-10-19","donatie","10,00","","RON","10,00","RON","colecta vox"
"2014-10-18","diverse","69,00","","RON","69,00","RON","24 lei - manual cursului alfa
45 lei - pentru mancare"
"2014-10-18","casa","50,00","","RON","50,00","RON","set de farfurii"
"2014-10-17","mancare","18,85","","RON","18,85","RON","salam, unt, pate, franzela (Lidl)"
"2014-10-15","mancare","10,15","","RON","10,15","RON","lapte, iaurt,franzela (lidl x 2)"
"2014-10-15","mancare","2,60","","RON","2,60","RON","apa la scoala"
"2014-10-15","economii","60,00","","RON","60,00","RON","salar Cami luna sept - 300 lei - bani mami pt operatie sebi - 400 inscriere grup la GLS (=160 reusi, Daniela si Iuliana) -400 cadou mami, tabita, lemne"
"2014-10-14","mancare","2,70","","RON","2,70","RON","baekrolls"
"2014-10-14","diverse","3,30","","RON","3,30","RON","la posta, diploma Marietei"
"2014-10-13","cadouri","13,00","","RON","13,00","RON","ciocolata la familia Badescu"
"2014-10-12","economii","83,00","","RON","83,00","RON","ramasi de luna trecuta, din bonurile de la scoala"
"2014-10-12","mancare","90,11","","RON","90,11","RON","lapte, iaurt, oua, paste, rosii, telina, patrunjel, pastarnac, banane, dovlecel, smantana, unt, carne tocata, pizza"
"2014-10-12","igiena","41,48","","RON","41,48","RON","sampon, tot ce ne trebuie, h igienica, pasta de dinti"
"2014-10-12","dulciuri","9,30","","RON","9,30","RON","pufuleti si biscuiti role de la kaufland"
"2014-10-12","igiena","32,50","","RON","32,50","RON","absorbante, protej slip, servetele umede bebe"
"2014-10-12","sanatate","10,00","","RON","10,00","RON","hexoraletten"
"2014-10-12","motorina","201,54","","RON","201,54","RON","ca sa nu mai fie pe rosu"
"2014-10-12","economii","2.618,00","","RON","2.618,00","RON","1000 lei din salariul lui Sergiu 
1800 lei - bursa Cami - 168 -pt garantia prelungita laptop"
"2014-10-12","donatie","500,00","","RON","500,00","RON","recuperare Andy"
"2014-10-12","donatie","700,00","","RON","700,00","RON","10% vox, oscet si devotament vox"
"2014-10-09","mancare","4,00","","RON","4,00","RON","paine"
"2014-10-09","telefon","38,28","","RON","38,28","RON","orange"
"2014-10-08","cadouri","74,80","","RON","74,80","RON","vase de iena pentru Iuli si Cata"
"2014-10-08","mancare","3,00","","RON","3,00","RON","completare de la bonuri la auchan (corn, pufuleti, paine)"
"2014-10-08","intretinere / reparatii","15,00","","RON","15,00","RON","spalare masina interior/exterior"
"2014-10-08","motorina","30,00","","RON","30,00","RON","inainte de salar"
"2014-10-08","facturi","102,00","","RON","102,00","RON","intretinere"
"2014-10-07","mancare","10,00","","RON","10,00","RON","lapte, paine, iaurt"
"2014-10-06","motorina","30,00","","RON","30,00","RON","la intoarcele de la Cheile Rametului spre TM,"
"2014-10-06","iesiri","397,00","","RON","397,00","RON","iesire de aniversarea noastra- Sighisoara si Cheile Rametului
200 lei motorina,
60 lei cazare
30 lei mica dejun
20 lei pranz
18,70 lei cina de sambata
28,86, cumparaturi spre Sancel
10 lei- suvenir
5 lei- donatie la batranica cersetoare
24 lei- intrare in turnul cu ceas"
"2014-10-06","facturi","158,83","","RON","158,83","RON","curent"
"2014-10-01","mancare","11,91","","RON","11,91","RON","mancare pentru serviciu pe 2 zile!"
"2014-10-01","regularizari","10,50","","RON","10,50","RON","paine, maruntisuri?"
"2014-10-01","comisioane bancare","3,00","","RON","3,00","RON","homebanking"
"2014-09-30","casa","20,00","","RON","20,00","RON","vaze de la Tabita Sitariu"
"2014-09-30","haine","200,00","","RON","200,00","RON","de la Tabita Sitariu"
"2014-09-30","cadouri","65,00","","RON","65,00","RON","Bun venit Anna Ivanc"
"2014-09-30","motorina","51,00","","RON","51,00","RON","prin oras"
"2014-09-30","planificate","74,40","","RON","74,40","RON","RATT - abonament general"
"2014-09-29","mancare","1,00","","RON","1,00","RON","Paine de la lidl"
"2014-09-28","igiena","10,00","","RON","10,00","RON","deodorant antiperspirant"
"2014-09-28","mancare","81,22","","RON","81,22","RON","cand au venit parintii lui Sergiu"
"2014-09-28","in oras","45,00","","RON","45,00","RON","concert de orga cu parintii lui sergiu si Miri"
"2014-09-28","donatie","5,00","","RON","5,00","RON","colecta la biserica"
"2014-09-27","dulciuri","10,00","","RON","10,00","RON","inghetata la elu"
"2014-09-26","motorina","130,00","","RON","130,00","RON","la plecare la oradea"
"2014-09-25","mancare","22,00","","RON","22,00","RON","la sergiu la servici"
"2014-09-25","mancare","2,70","","RON","2,70","RON","bakerolls"
"2014-09-25","profesional","10,00","","RON","10,00","RON","ecusoane pt soareci"
"2014-09-24","mancare","4,00","","RON","4,00","RON","paine"
"2014-09-24","mancare","1,60","","RON","1,60","RON","iaurt"
"2014-09-24","diverse","17,00","","RON","17,00","RON","2 baterii la ceasuri"
"2014-09-24","transport","4,00","","RON","4,00","RON","2 ratt"
"2014-09-24","mancare","141,00","","RON","141,00","RON","herballife"
"2014-09-24","haine","18,00","","RON","18,00","RON","la croitorie; stramptat, scurtat"
"2014-09-23","sanatate","100,00","","RON","100,00","RON","detartraj Sergiu"
"2014-09-23","mancare","5,20","","RON","5,20","RON","crenwusti"
"2014-09-23","cadouri","30,00","","RON","30,00","RON","ziua Florina Andrica"
"2014-09-23","transport","2,50","","RON","2,50","RON","bilet RATT"
"2014-09-23","facturi","70,00","","RON","70,00","RON","UPC"
"2014-09-22","mancare","14,36","","RON","14,36","RON","lapte, paine, smantana"
"2014-09-22","igiena","15,00","","RON","15,00","RON","tuns sergiu"
"2014-09-22","profesional","5,00","","RON","5,00","RON","diplome curs franceza"
"2014-09-22","igiena","20,00","","RON","20,00","RON","tuns"
"2014-09-22","transport","4,00","","RON","4,00","RON","2 bilete ratt"
"2014-09-21","mancare","37,91","","RON","37,91","RON","pentru pranzul de la BIC (faina, lapte, oua, branza dulce si sarata, lamai)"
"2014-09-21","dulciuri","7,00","","RON","7,00","RON","crema ciocolata"
"2014-09-21","igiena","17,00","","RON","17,00","RON","tot ce ne trebuie"
"2014-09-20","casa","30,26","","RON","30,26","RON","pentru renumita sita de tantari ...
baghete suplimentare, cuisoara, inca o balama de siguranta, carlige pentru inchizatori ... cumparate de la praktiker si de la baumax"
"2014-09-20","mancare","4,90","","RON","4,90","RON","paine vaiova"
"2014-09-19","dulciuri","1,60","","RON","1,60","RON","pufuleti"
"2014-09-19","mancare","3,00","","RON","3,00","RON","iaurt"
"2014-09-19","cadouri","10,00","","RON","10,00","RON","crizanteme"
"2014-09-19","mancare","12,26","","RON","12,26","RON","fasole, struguri, ficati de pui, paine"
"2014-09-19","profesional","100,00","","RON","100,00","RON","talas la soareci"
"2014-09-19","dulciuri","2,00","","RON","2,00","RON","langos"
"2014-09-18","in oras","12,00","","RON","12,00","RON","inghetata cu Miha de la cisnadie"
"2014-09-18","in oras","12,00","","RON","12,00","RON","pranz cu ramona sorhent"
"2014-09-18","sanatate","2,00","","RON","2,00","RON","10 plasturi"
"2014-09-17","mancare","6,47","","RON","6,47","RON","lapte, iaurt"
"2014-09-17","economii","50,00","","RON","50,00","RON","datorie sorin din supravituire"
"2014-09-16","incaltaminte/accesorii","76,00","","RON","76,00","RON","boots de toamna pt cami"
"2014-09-16","dulciuri","1,00","","RON","1,00","RON","ciocolata calda la cursul posdru"
"2014-09-16","donatie","700,00","","RON","700,00","RON","10 % - 400 vox, 100 oscet, 200 - devotament vox"
"2014-09-15","economii","1.100,00","","RON","1.100,00","RON","bursa cami - 300 cumparaturi tabita sitariu si cadou Magda, -400 aniversarea noastra"
"2014-09-14","dulciuri","22,00","","RON","22,00","RON","inchetata si crema de ciocolata"
"2014-09-14","mancare","20,00","","RON","20,00","RON","branza, sunca"
"2014-09-14","donatie","10,00","","RON","10,00","RON","colecta la VOx"
"2014-09-14","sport","20,00","","RON","20,00","RON","reparatie bocanci"
"2014-09-14","cadouri","50,00","","RON","50,00","RON","cadou Feli"
"2014-09-13","dulciuri","6,00","","RON","6,00","RON","cola"
"2014-09-13","mancare","4,00","","RON","4,00","RON","paine"
"2014-09-12","mancare","3,50","","RON","3,50","RON","sandwich la scoala"
"2014-09-12","economii","1.055,00","","RON","1.055,00","RON","salar Cami"
"2014-09-12","mancare","187,00","","RON","187,00","RON","fructe, ceaiuri, legume congelate, cus-cus, burta de vaca pt ciorba, carnati, iaurt, pizza congelator, cascaval, porumb, oua, paste, mazare, ridichi, rosii, ardei, morcovi, spanac, varza, ton"
"2014-09-12","igiena","84,49","","RON","84,49","RON","absorbante, lavete bucatarie,  lame de ras pt sergiu, saci menajeri, pasta de dinti, balsam de rufe"
"2014-09-12","mancare","5,67","","RON","5,67","RON","pizza de la auchan"
"2014-09-12","dulciuri","7,00","","RON","7,00","RON","eugenii"
"2014-09-12","casa","10,63","","RON","10,63","RON","vaza verde de la jisk"
"2014-09-12","casa","13,27","","RON","13,27","RON","suruburi pt d-na munteanu si banda adeziva pt sita de bucatarie"
"2014-09-12","motorina","200,47","","RON","200,47","RON","motorina la venirea salariului"
"2014-09-12","economii","1.000,00","","RON","1.000,00","RON","salar sergiu"
"2014-09-12","cadouri","18,98","","RON","18,98","RON","ciocolta, in vizita la Adi Radu"
"2014-09-11","imprumut","10,00","","RON","10,00","RON","Ioana pentru ecusoane"
"2014-09-09","mancare","5,00","","RON","5,00","RON","buseu branza si bake rolls"
"2014-09-09","transport","2,50","","RON","2,50","RON","expre, RATT"
"2014-09-09","mancare","10,00","","RON","10,00","RON","paine, lapte, iaurt"
"2014-09-09","telefon","38,23","","RON","38,23","RON","orange"
"2014-09-08","mancare","3,00","","RON","3,00","RON","calzone"
"2014-09-08","mancare","1,90","","RON","1,90","RON","paine"
"2014-09-08","regularizari","5,00","","RON","5,00","RON","???"
"2014-09-07","dulciuri","18,10","","RON","18,10","RON","prajitura vizita la fam Moise"
"2014-09-06","mancare","50,11","","RON","50,11","RON","mancare de la auchan"
"2014-09-06","mancare","9,20","","RON","9,20","RON","lapte, paine si oua"
"2014-09-05","motorina","37,86","","RON","37,86","RON","pt 100 km"
"2014-09-05","transport","4,00","","RON","4,00","RON","2 ratt"
"2014-09-05","dulciuri","2,70","","RON","2,70","RON","bake rolls"
"2014-09-04","transport","2,00","","RON","2,00","RON","ratt spre judetean"
"2014-09-04","dulciuri","17,50","","RON","17,50","RON","inghetata pt fete"
"2014-09-04","mancare","7,38","","RON","7,38","RON","babane si apa"
"2014-09-04","mancare","1,74","","RON","1,74","RON","banane"
"2014-09-04","mancare","2,00","","RON","2,00","RON","covrig"
"2014-09-03","mancare","9,85","","RON","9,85","RON","la servici sergiu"
"2014-09-03","mancare","9,00","","RON","9,00","RON","shaorma"
"2014-09-03","planificate","118,00","","RON","118,00","RON","intretinere"
"2014-09-02","mancare","6,00","","RON","6,00","RON","covrigei"
"2014-09-01","mancare","13,00","","RON","13,00","RON","2 iaurturi grecesti, lapte, paine"
"2014-09-01","comisioane bancare","3,00","","RON","3,00","RON","homebank"
"2014-09-01","transport","42,50","","RON","42,50","RON","RATT linia 33"
"2014-08-31","regularizari","8,00","","RON","8,00","RON","dupa intoarcerea din fagaras"
"2014-08-31","in oras","12,00","","RON","12,00","RON","inghetata la il bruno"
"2014-08-31","donatie","10,00","","RON","10,00","RON","colecta la vox"
"2014-08-31","in oras","41,50","","RON","41,50","RON","pranz la mall cu oscet-isti"
"2014-08-30","concediu","16,10","","RON","16,10","RON","inghetata la intoarcere din Fagaras"
"2014-08-27","concediu","3,00","","RON","3,00","RON","slanina la balea"
"2014-08-27","concediu","34,53","","RON","34,53","RON","completare la balea lac"
"2014-08-27","concediu","3,86","","RON","3,86","RON","la coborarea dupa masini"
"2014-08-23","donatie","2,50","","RON","2,50","RON","truguri la sorin la faget"
"2014-08-23","concediu","18,67","","RON","18,67","RON","la faget"
"2014-08-22","motorina","251,00","","RON","251,00","RON","plinul inainte de supravietuire"
"2014-08-22","regularizari","8,00","","RON","8,00","RON","inainte de supravietuire"
"2014-08-22","sport","390,50","","RON","390,50","RON","colanti cami, pantaloni flece sergiu, fleece blanita cami, fleece + sapca sergiu, pantaloni impermeabili sergiu"
"2014-08-22","concediu","140,00","","RON","140,00","RON","mancare pt supravietuire"
"2014-08-22","mancare","20,34","","RON","20,34","RON","pizza la auchan"
"2014-08-22","intretinere / reparatii","10,00","","RON","10,00","RON","spalare masina"
"2014-08-22","donatie","5,00","","RON","5,00","RON","xerox versete pt supravietuire"
"2014-08-22","mancare","2,50","","RON","2,50","RON","apa"
"2014-08-21","sanatate","24,00","","RON","24,00","RON","XYZAL"
"2014-08-20","donatie","500,00","","RON","500,00","RON","10% - la vox si OSCET"
"2014-08-20","facturi","70,00","","RON","70,00","RON","UPC"
"2014-08-20","igiena","12,00","","RON","12,00","RON","gel de dus, Sergiu"
"2014-08-20","sport","170,00","","RON","170,00","RON","sandale teva pt Cami"
"2014-08-19","mancare","20,57","","RON","20,57","RON","banane, nectarine, bulion, spaghete, zahar"
"2014-08-19","igiena","6,84","","RON","6,84","RON","detergent vase + vanish praf"
"2014-08-19","casa","4,00","","RON","4,00","RON","folie transparenta bucatarie"
"2014-08-19","dulciuri","11,00","","RON","11,00","RON","suc si biscuiti pt intalnirea de organizare supravietuire"
"2014-08-19","dulciuri","5,00","","RON","5,00","RON","ciocolata crema"
"2014-08-19","mancare","11,75","","RON","11,75","RON","iaurt, lapte"
"2014-08-19","concediu","160,00","","RON","160,00","RON","tabara supravietuire"
"2014-08-18","comisioane bancare","6,00","","RON","6,00","RON","la extragere de pe card"
"2014-08-18","regularizari","1,00","","RON","1,00","RON","dupa intoarcerea din Sureanu"
"2014-08-18","profesional","84,94","","RON","84,94","RON","5 sticle de apa pt soareci"
"2014-08-18","mancare","2,00","","RON","2,00","RON","paine"
"2014-08-18","transport","4,00","","RON","4,00","RON","2 bilete RATT"
"2014-08-18","mancare","3,50","","RON","3,50","RON","sandwich"
"2014-08-18","mancare","14,40","","RON","14,40","RON","mancare pentru serviciu de la Billa (fasole, picior de pui, chifle, nectarine)"
"2014-08-17","iesiri","15,00","","RON","15,00","RON","curtos colac la baraj la oasa"
"2014-08-17","mancare","6,50","","RON","6,50","RON","lapte si paine de la colt"
"2014-08-15","motorina","126,00","","RON","126,00","RON","motorina pan ain sureanu si inapoi"
"2014-08-15","intretinere / reparatii","123,27","","RON","123,27","RON","rovineta pe 1 an"
"2014-08-15","iesiri","76,00","","RON","76,00","RON","cumparaturi + balnos pt Sureanu"
"2014-08-14","iesiri","10,00","","RON","10,00","RON","lubenita in drum spre Cugir/Sureanu"
"2014-08-14","igiena","8,99","","RON","8,99","RON","deodorant sergiu"
"2014-08-14","iesiri","12,13","","RON","12,13","RON","paine si chipsuri pe drum spre sureanu/cugir"
"2014-08-14","economii","2.855,00","","RON","2.855,00","RON","salar+ bursa Cami, luna iulie"
"2014-08-14","mancare","1,74","","RON","1,74","RON","chifle Lidl"
"2014-08-14","dulciuri","2,99","","RON","2,99","RON","napolitana"
"2014-08-13","intretinere / reparatii","50,00","","RON","50,00","RON","manopera schimbat ulei & filtre (ulei, combustibil, aer, polen), mecanic teo
km: 303750"
"2014-08-13","intretinere / reparatii","153,00","","RON","153,00","RON","filtre de tot felul: ulei, combustibil, aer, polen"
"2014-08-13","in oras","21,00","","RON","21,00","RON","inghetata in 3, cu Alin"
"2014-08-13","sport","489,90","","RON","489,90","RON","rucsac mamut pt Cami"
"2014-08-12","economii","1.400,00","","RON","1.400,00","RON","1000 lei - salar Sergiu
400 lei - ramasi din concediu"
"2014-08-12","mancare","3,00","","RON","3,00","RON","paine"
"2014-08-12","intretinere / reparatii","148,00","","RON","148,00","RON","ulei"
"2014-08-11","imprumut","17,00","","RON","17,00","RON","ioana pt o sticla de apa"
"2014-08-11","donatie","200,00","","RON","200,00","RON","devotament vox"
"2014-08-11","donatie","120,00","","RON","120,00","RON","cumparaturi pt Pecica"
"2014-08-11","mancare","35,18","","RON","35,18","RON","lucas, pepene, iaurt, piersici"
"2014-08-10","mancare","4,00","","RON","4,00","RON","nectarine"
"2014-08-09","igiena","62,52","","RON","62,52","RON","crema nivea, sol gresie, odorizant baie, bref wc,"
"2014-08-09","casa","77,07","","RON","77,07","RON","covoras baie, pres ventuze cada, orhidee, vas ceramica orhidee, umerase"
"2014-08-09","cadouri","20,46","","RON","20,46","RON","fam Sass: sapun lichid si geluri de dus."
"2014-08-09","mancare","108,87","","RON","108,87","RON","paine, ardei, rosii, telemea, cascaval, lapte, sunca, iaurt, cereale, patrunjel, morcovi, unt, struguri, smantana, telina, ceai, oua, ciuperci, cartofi"
"2014-08-09","dulciuri","21,76","","RON","21,76","RON","inghetata bounty"
"2014-08-09","cadouri","23,50","","RON","23,50","RON","lipgloss Raluca"
"2014-08-09","intretinere / reparatii","10,00","","RON","10,00","RON","spalare exterioara"
"2014-08-09","motorina","100,00","","RON","100,00","RON","motorina"
"2014-08-09","concediu","210,80","","RON","210,80","RON","flonta cu Dragos (190,80 meniu + 20 bacsis)"
"2014-08-09","facturi","38,36","","RON","38,36","RON","orange"
"2014-08-08","concediu","21,90","","RON","21,90","RON","meniu mcdonalds cami"
"2014-08-08","concediu","216,35","","RON","216,35","RON","autobuz, heilbronn -nurnberg"
"2014-08-07","concediu","232,57","","RON","232,57","RON","heilderberg"
"2014-08-05","facturi","187,79","","RON","187,79","RON","curent"
"2014-08-02","concediu","198,10","","RON","198,10","RON","berlin-bayreuth"
"2014-08-01","comisioane bancare","3,00","","RON","3,00","RON","ING"
"2014-07-30","diverse","80,26","","RON","80,26","RON","harti GPS windows phone"
"2014-07-26","concediu","300,00","","RON","300,00","RON","transfer aeroport budapesta/ dus- 2 pers"
"2014-07-25","facturi","100,00","","RON","100,00","RON","intretinere iunie 2014"
"2014-07-25","concediu","16,00","","RON","16,00","RON","sandwichuri si apa pe drum"
"2014-07-25","mancare","3,50","","RON","3,50","RON","iaurt si covrig"
"2014-07-25","mancare","3,00","","RON","3,00","RON","merdenea cu branza"
"2014-07-25","concediu","1.171,00","","RON","1.171,00","RON","500 euro cumparati la un curs de 4.41 (2205) lei
au ramas 235 euro (4.40) - 1034"
"2014-07-24","mancare","9,50","","RON","9,50","RON","lapte, paine, necatrine, banane"
"2014-07-24","igiena","72,00","","RON","72,00","RON","bureti baie, betisoare urechi, prezervative, absorbante, plasturi, ceara epilat"
"2014-07-24","casa","21,52","","RON","21,52","RON","faras, matura , mop,"
"2014-07-24","mancare","3,00","","RON","3,00","RON","oua"
"2014-07-24","donatie","500,00","","RON","500,00","RON","10% - vox si oscet"
"2014-07-21","mancare","8,07","","RON","8,07","RON","lidl"
"2014-07-21","incaltaminte/accesorii","170,00","","RON","170,00","RON","sandale cami + braturi fata, spate"
"2014-07-21","regularizari","12,00","","RON","12,00","RON","???"
"2014-07-21","facturi","67,00","","RON","67,00","RON","UPC"
"2014-07-20","in oras","30,00","","RON","30,00","RON","inghetata cu Daria si Cipri"
"2014-07-20","donatie","10,00","","RON","10,00","RON","colecta la pecica la bise"
"2014-07-20","donatie","140,00","","RON","140,00","RON","bonuri la fam sass pt masina de spalat"
"2014-07-19","motorina","161,00","","RON","161,00","RON","excursie cheile nerei familia sass"
"2014-07-19","donatie","20,00","","RON","20,00","RON","intrare in cheile nerei fam sass"
"2014-07-19","iesiri","10,00","","RON","10,00","RON","intrare cheile nerei"
"2014-07-19","intretinere / reparatii","10,00","","RON","10,00","RON","spalare  masina"
"2014-07-19","donatie","130,00","","RON","130,00","RON","motorina Elu -iesire cheile nerei"
"2014-07-18","transport","10,50","","RON","10,50","RON","abonamant 5 zile RATT"
"2014-07-18","mancare","7,50","","RON","7,50","RON","la scoala Cami"
"2014-07-17","diverse","20,00","","RON","20,00","RON","flori pentru inmormantare"
"2014-07-17","igiena","15,00","","RON","15,00","RON","tuns sergiu"
"2014-07-15","cadouri","145,00","","RON","145,00","RON","cadou de nunta Rebe - prajitor paine"
"2014-07-15","mancare","43,00","","RON","43,00","RON","de la auchan"
"2014-07-15","diverse","2,05","","RON","2,05","RON","banda dublu adeziva"
"2014-07-15","mancare","9,00","","RON","9,00","RON","lapte si iaurt"
"2014-07-15","igiena","7,00","","RON","7,00","RON","servetele umede ochelari"
"2014-07-15","cadouri","17,00","","RON","17,00","RON","flori"
"2014-07-15","transport","11,00","","RON","11,00","RON","taxi la scoala"
"2014-07-14","igiena","22,00","","RON","22,00","RON","sapun dove solid, lichid, always, paste de dinti"
"2014-07-14","diverse","20,00","","RON","20,00","RON","husa kindle cami"
"2014-07-14","mancare","9,64","","RON","9,64","RON","mancare servici sergiu"
"2014-07-14","cadouri","109,00","","RON","109,00","RON","pt bubu si bubulina"
"2014-07-14","regularizari","31,00","","RON","31,00","RON","????"
"2014-07-12","in oras","70,00","","RON","70,00","RON","pizza cu Raluca si Nicu -hai Simona!"
"2014-07-12","motorina","200,02","","RON","200,02","RON","inainte de plecarea la Cugir"
"2014-07-12","igiena","31,48","","RON","31,48","RON","gel de dus dove, fond de ten"
"2014-07-12","mancare","12,00","","RON","12,00","RON","pizza vineri seara"
"2014-07-12","donatie","200,00","","RON","200,00","RON","devotament vox"
"2014-07-10","in oras","54,00","","RON","54,00","RON","cina la Flonta, de ziua lui Carmen"
"2014-07-10","mancare","7,87","","RON","7,87","RON","piersici, kefir, croisant cu unt si foetaj, pt pranz la flonta"
"2014-07-10","iesiri","7,00","","RON","7,00","RON","taxa agrement la la flonta Cami"
"2014-07-09","mancare","18,00","","RON","18,00","RON","iaurt, portocale, lapte etc"
"2014-07-09","regularizari","22,00","","RON","22,00","RON","?"
"2014-07-09","mancare","1,90","","RON","1,90","RON","banane"
"2014-07-09","mancare","10,90","","RON","10,90","RON","lapte, paine si o branzoaica"
"2014-07-08","cadouri","1,30","","RON","1,30","RON","felicitare Carmen"
